Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp
NGC_2682,598884952650222000,0.53304199,132.8497487,11.41,1.138,13.148294,0.730224
NGC_2682,604891550313645000,0.53292376,132.9264477,11.54,1.193,13.050789,0.739162
NGC_2682,604901102320830000,0.53290129,133.1413068,11.69,1.072,15.995378,1.251438
NGC_2682,604951301898543000,0.53286547,133.2439558,12.04,1.158,13.950937,0.875759
NGC_2682,604967996435524000,0.53213785,132.5000551,11.95,1.142,13.381305,0.736184
NGC_2682,598884746491793000,0.53207717,132.8511494,11.39,1.154,13.011026,0.7392645
NGC_2682,604965522534368000,0.53202717,132.4857153,11.9,1.22,17.51174,1.956897
NGC_2682,604918522708192000,0.53162383,132.9948397,11.83,1.149,14.14483,0.867873
NGC_2682,598694939001775000,0.53108407,132.8012981,11.31,1.151,13.909688,0.774783
NGC_2682,604965488175031000,0.53106814,132.504178,11.89,1.187,19.34953,2.492399
NGC_2682,604965664269159000,0.5294533,132.3943557,11.86,1.151,9.094762,1.483386
NGC_2682,604947140074787000,0.52925879,133.0026064,11.99,1.093,18.755735,2.220383
NGC_2682,604917423196681000,0.52921653,132.8534685,11.8,1.07,14.304366,0.944413
NGC_2682,604914193381246000,0.52883806,132.6984931,11.75,0.9923,16.16025,1.476476
NGC_2682,604926494167461000,0.5280678,133.1849957,11.82,1.127,15.631971,1.417509
NGC_2682,604972394482497000,0.52798795,132.7735427,12.03,1.056,18.798012,2.352056
NGC_2682,598959822520052000,0.52789575,132.3947957,11.79,1.126,14.189812,0.798741
NGC_2682,604903056530307000,0.52780266,132.9947873,11.67,1.069,18.171112,2.337195
NGC_2682,598889419416218000,0.52731799,132.7341794,11.48,1.158,15.728919,1.160122
NGC_2682,604897696411108000,0.52702458,132.8234949,11.64,1.156,17.851322,1.963693
NGC_2682,598906633645152000,0.5269772,132.5553551,11.62,1.099,15.705956,1.119859
NGC_2682,598695007721506000,0.5264403,132.7945565,11.32,1.137,17.255587,1.729891
NGC_2682,605002016872204000,0.5261515,132.9153728,12.2,1.137,15.329233,1.07753
NGC_2682,604998237300962000,0.5260355,133.0413877,12.18,1.141,14.002153,0.794309
NGC_2682,604917831217882000,0.52542524,132.8883898,11.81,1.151,12.55852,0.76616
NGC_2682,604922817675316000,0.52541223,132.8838536,11.9,1.017,18.915993,2.53014
NGC_2682,604736072496791000,0.52510458,133.3011769,11.67,1.181,14.501789,0.868834
NGC_2682,604901957018618000,0.52448758,133.1261032,11.71,1.068,13.976336,0.7843215
NGC_2682,598906942882791000,0.52405354,132.5925242,11.64,1.245,18.087387,1.994081
NGC_2682,605013767903056000,0.52400924,132.7263629,12.26,1.1,13.485824,0.732927
NGC_2682,605013145137827000,0.52400924,132.6881372,12.21,1.148,18.009321,2.271698
NGC_2682,604703941846497000,0.524,133.037687,11.47,1.145,13.140885,0.732402
NGC_2682,604913948567398000,0.52335175,132.7208508,11.73,1.011,17.432917,1.792854
NGC_2682,604914262100725000,0.52285882,132.6820723,11.76,1.107,16.1534,1.289126
NGC_2682,605000779921665000,0.52227101,132.7613894,12.15,1.168,16.125412,1.297679
NGC_2682,598959371548060000,0.52191548,132.3551401,11.77,1.109,15.611175,1.10226
NGC_2682,604904156041875000,0.52170339,132.9518937,11.71,1.159,13.885436,0.774747
NGC_2682,604896566835440000,0.52092099,132.9041833,11.61,1.233,14.599969,1.032629
NGC_2682,604916873440766000,0.51987611,132.9527235,11.79,1.133,14.595134,0.94522
NGC_2682,604915499051114000,0.51963996,132.6527469,11.82,1.104,12.900631,0.777764
NGC_2682,604930445537380000,0.51790025,133.1200436,11.86,1.12,19.08362,2.39319
NGC_2682,604981847705912000,0.51751431,132.4422979,12.06,1.153,15.324436,1.035276
NGC_2682,605018677049608000,0.51740885,132.5675479,12.33,1.13,14.149156,0.786827
NGC_2682,604964496038052000,0.51608497,132.4539587,11.81,1.143,15.134989,1.184584
NGC_2682,604902442350618000,0.51568749,133.1487041,11.74,1.232,19.442488,2.263393
NGC_2682,604711539643603000,0.51511618,133.1497921,11.62,1.169,14.830228,0.945831
NGC_2682,604995278068254000,0.51503907,132.8898168,12.04,1.215,18.793358,2.220804
NGC_2682,604900239031754000,0.51503095,133.0557705,11.65,1.101,17.517235,2.166179
NGC_2682,604712188183890000,0.51498025,133.3019352,11.62,1.139,17.235138,1.706638
NGC_2682,604926631606410000,0.51480659,133.2343299,11.81,1.166,12.279008,1.152612
NGC_2682,604906599878985000,0.51391984,132.9920201,11.8,1.272,15.7270155,1.311016
NGC_2682,598885979147130000,0.51362692,132.8251492,11.44,1.181,13.097951,0.741393
NGC_2682,605018578266152000,0.51342957,132.5990874,12.33,1.128,12.562445,0.712632
NGC_2682,604993598736391000,0.51327804,132.5483503,12.24,1.166,14.034807,0.788509
NGC_2682,604904293480904000,0.51311192,132.9151855,11.71,1.038,16.25642,1.315298
NGC_2682,598694153022998000,0.51266294,132.7944368,11.27,1.128,14.549197,1.03077
NGC_2682,604917835512485000,0.51261716,132.8762406,11.82,1.285,17.091047,1.61812
NGC_2682,604976625025625000,0.51209642,132.6866118,12.09,1.065,17.737473,1.912086
NGC_2682,604999779194001000,0.51078076,132.8050919,12.12,1.228,17.905495,2.248539
NGC_2682,598957790999877000,0.51024499,132.3131169,11.74,1.149,14.042405,0.784575
NGC_2682,604918552772398000,0.51012313,132.9997001,11.84,1.085,17.350405,1.944839
NGC_2682,604913987222817000,0.51008848,132.7069286,11.73,1.115,16.086548,1.334707
NGC_2682,604923706733209000,0.50954945,132.9394676,11.96,1.042,16.410458,1.664403
NGC_2682,604917491916094000,0.50883259,132.8291247,11.79,0.9837,17.997208,1.986336
NGC_2682,604928658830961000,0.50862536,133.2985833,11.9,1.108,15.37342,1.043566
NGC_2682,598907522703329000,0.50855177,132.5178672,11.65,1.107,17.15753,1.934948
NGC_2682,604901686436367000,0.50794796,133.1951399,11.73,1.052,17.111662,1.649757
NGC_2682,604923745388235000,0.50723301,132.9203829,11.96,1.155,15.54789,1.296353
NGC_2682,598901788922042000,0.50700291,132.6326639,11.5,1.106,15.386318,1.059467
NGC_2682,604943227360042000,0.50683254,133.1383827,11.95,1.097,14.353016,0.845998
NGC_2682,604895329886451000,0.50680818,132.7621693,11.56,1.11,15.615736,1.106534
NGC_2682,604923470510324000,0.50639947,132.9534438,11.95,1.245,12.654641,1.106648
NGC_2682,604911547681375000,0.50568004,132.7835912,11.76,1.006,17.485126,1.829335
NGC_2682,604911341522931000,0.50563728,132.836051,11.76,1.188,15.5028305,1.263285
NGC_2682,604949201658390000,0.5054673,133.0671773,12.05,1.211,17.762472,1.971319
NGC_2682,604896498115959000,0.50503698,132.9257811,11.6,1.257,17.50314,1.781803
NGC_2682,604914055942336000,0.50446767,132.734217,11.75,1.115,15.818504,1.421021
NGC_2682,604897146655295000,0.50384249,132.9124161,11.64,1.195,19.063505,2.256148
NGC_2682,604915013719303000,0.50374866,132.6656379,11.76,1.045,18.285435,2.062899
NGC_2682,604961021409000000,0.50296524,132.5647797,11.8,1.24,17.62686,1.830351
NGC_2682,604968340033344000,0.50281727,132.5423235,11.95,1.194,16.799265,1.546315
NGC_2682,604903576222014000,0.50157292,133.0241453,11.71,1.161,13.562483,0.784456
NGC_2682,604914983655020000,0.50103323,132.7587909,11.82,1.28,13.173609,0.793715
NGC_2682,604998404803662000,0.50046269,133.0056122,12.19,1.135,13.519313,0.750052
