Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp,,,,,
NGC_2477,5538871502320620000,0.79197396,118.11804,-38.44,0.7043,15.212406,1.119696,,,,,
NGC_2477,5538871124367790000,0.79166292,118.0254559,-38.42,0.6772,15.689726,1.167216,,,,,
NGC_2477,5538494816514310000,0.79122275,117.949935,-38.54,0.6678,15.810344,1.226253,,,,,
NGC_2477,5538866417083590000,0.79119843,118.1605818,-38.54,0.6655,15.36843,1.036737,,,,,
NGC_2477,5538510961286830000,0.79098261,117.7762453,-38.43,0.6903,15.271708,1.048343,,,,,
NGC_2477,5538495121447060000,0.79076172,117.9556142,-38.5,0.678,14.729755,0.983331,,,,,
NGC_2477,5538869299002930000,0.79011126,118.0210382,-38.54,0.6595,17.08799,1.332519,,,,,
NGC_2477,5538491758497650000,0.78986182,117.9156719,-38.65,0.674,14.117178,0.9147695,,,,,
NGC_2477,5538867138638080000,0.78974109,118.1765465,-38.54,0.6975,16.592089,1.366146,,,,,
NGC_2477,5538870329792060000,0.78960066,118.0179628,-38.49,0.6664,15.928506,1.155523,,,,,
NGC_2477,5538867890247260000,0.78927813,118.1754253,-38.53,0.707,12.003529,1.518101,,,,,
NGC_2477,5538490452827500000,0.78874947,118.056429,-38.62,0.6724,14.772435,1.008128,,,,,
NGC_2477,5538870815130130000,0.78862865,118.0613182,-38.44,0.6787,13.851283,0.8977835,,,,,
NGC_2477,5538882944117800000,0.78807392,117.9982474,-38.39,0.6832,14.591238,1.081503,,,,,
NGC_2477,5538495018369150000,0.78772452,117.9560454,-38.53,0.6846,18.580503,1.885386,,,,,
NGC_2477,5538872670555970000,0.78762013,118.0547978,-38.39,0.6791,13.265056,0.851157,,,,,
NGC_2477,5538870918209400000,0.78756639,118.0140597,-38.45,0.7446,17.08244,1.438641,,,,,
NGC_2477,5538488867981750000,0.78750981,118.0272337,-38.72,0.7017,16.552488,1.378906,,,,,
NGC_2477,5538867997634480000,0.78582452,118.1702804,-38.5,0.7103,17.447107,1.752203,,,,,
NGC_2477,5538113079821340000,0.78560956,118.2616387,-38.72,0.6943,13.298828,0.859964,,,,,
NGC_2477,5538867134333020000,0.78560585,118.1742801,-38.54,0.727,12.300073,1.457255,,,,,
NGC_2477,5538490727705410000,0.78524322,118.040831,-38.6,0.701,13.379434,0.722633,,,,,
NGC_2477,5538869131503040000,0.78432934,118.0547546,-38.56,0.6649,15.529185,1.1673585,,,,,
NGC_2477,5538493373405330000,0.78412526,117.9563625,-38.62,0.6774,15.682563,1.121397,,,,,
NGC_2477,5538490246669090000,0.78412526,118.0510205,-38.66,0.6807,14.947663,1.043645,,,,,
NGC_2477,5538864935314110000,0.78391702,118.0911012,-38.64,0.7129,19.31352,2.176086,,,,,
NGC_2477,5538870334093870000,0.78309194,118.0154638,-38.48,0.6753,15.5158415,1.102169,,,,,
NGC_2477,5538865661169340000,0.78277477,118.1678159,-38.54,0.6554,15.31666,1.013918,,,,,
NGC_2477,5538882566160780000,0.78251061,117.924501,-38.44,0.687,13.862831,0.8739605,,,,,
NGC_2477,5538512202541870000,0.7823425,117.7749487,-38.38,0.7028,14.462252,0.878831,,,,,
NGC_2477,5538882291282860000,0.78234093,117.9527762,-38.46,0.7042,15.47282,1.105276,,,,,
NGC_2477,5538866966839340000,0.78184078,118.2429388,-38.54,0.6479,15.704875,1.118128,,,,,
NGC_2477,5538490109230000000,0.78167686,118.0022539,-38.66,0.6863,17.402065,1.531611,,,,,
NGC_2477,5538869784337960000,0.78052194,118.100606,-38.48,0.6969,15.924539,1.162527,,,,,
NGC_2477,5538870883849600000,0.7804652,118.0618471,-38.43,0.7139,12.779255,0.824525,,,,,
NGC_2477,5538882566160770000,0.78040095,117.9246557,-38.43,0.7041,13.812178,0.887157,,,,,
NGC_2477,5538882600520490000,0.78037604,117.9492136,-38.42,0.712,13.244166,0.792682,,,,,
NGC_2477,5538110159243580000,0.78031527,118.2782654,-38.72,0.6854,12.60676,0.974818,,,,,
NGC_2477,5538869234582230000,0.78014026,118.053278,-38.53,0.6903,12.503419,0.778303,,,,,
NGC_2477,5538869818697760000,0.77976473,118.0587249,-38.51,0.7201,15.974751,1.151753,,,,,
NGC_2477,5538872326958570000,0.77976461,118.0915997,-38.42,0.6951,14.282407,1.058367,,,,,
NGC_2477,5538507907574650000,0.77955169,117.8556354,-38.45,0.694,16.293444,1.212648,,,,,
NGC_2477,5538490693345540000,0.77954758,118.0279101,-38.62,0.6646,15.568792,1.110219,,,,,
NGC_2477,5538871742842980000,0.77940189,118.1707728,-38.44,0.667,16.056992,1.334873,,,,,
NGC_2477,5538114866527690000,0.7791427,118.3319544,-38.65,0.6814,15.839883,1.341439,,,,,
NGC_2477,5538492480051830000,0.77848991,117.8562133,-38.65,0.6842,17.502005,1.479862,,,,,
NGC_2477,5538869337657770000,0.77844087,118.0047462,-38.54,0.65,16.807325,1.43543,,,,,
NGC_2477,5538867963271800000,0.77842471,118.1617022,-38.51,0.6883,14.028765,0.844064,,,,,
NGC_2477,5538492617491120000,0.77776166,117.8713387,-38.64,0.7116,15.1090765,1.044239,,,,,
NGC_2477,5538869165862850000,0.77771312,118.0684415,-38.53,0.6901,12.770207,0.7746875,,,,,
NGC_2477,5538883317769760000,0.77768788,117.9073189,-38.42,0.7065,12.453194,0.490358,,,,,
NGC_2477,5538869642600320000,0.77732587,118.0754087,-38.5,0.7114,16.750816,1.25312,,,,,
NGC_2477,5538870952569120000,0.77693442,118.0236021,-38.44,0.6845,13.244501,0.803148,,,,,
NGC_2477,5538873185951990000,0.7768513,118.0922592,-38.34,0.6821,14.23874,0.957946,,,,,
NGC_2477,5538872464397500000,0.7768513,118.1155712,-38.39,0.6705,15.280772,1.217418,,,,,
NGC_2477,5538887823200380000,0.77611664,117.8360066,-38.31,0.6891,15.115015,1.04645,,,,,
NGC_2477,5538110227963040000,0.77595511,118.3079224,-38.71,0.6997,13.658458,0.899395,,,,,
NGC_2477,5538490727705410000,0.77583882,118.0375997,-38.6,0.667,15.471793,1.065472,,,,,
NGC_2477,5538866691961500000,0.77571878,118.1344758,-38.51,0.6469,16.482088,1.245379,,,,,
NGC_2477,5538494163679380000,0.77436766,117.8989969,-38.6,0.6706,13.791497,0.819253,,,,,
NGC_2477,5538872494455780000,0.77382113,118.0897167,-38.41,0.6768,18.020254,1.703297,,,,,
NGC_2477,5538867237412230000,0.77376407,118.2275987,-38.52,0.7166,12.614899,0.896214,,,,,
NGC_2477,5538882188203660000,0.77331465,117.9500044,-38.47,0.6925,13.655877,0.801169,,,,,
NGC_2477,5538114729088860000,0.77326383,118.3029722,-38.66,0.686,14.850944,1.18078,,,,,
NGC_2477,5538869131503020000,0.77319391,118.0603857,-38.54,0.7362,12.964453,0.840964,,,,,
NGC_2477,5538507804495450000,0.77308814,117.8584886,-38.48,0.6686,16.1026,1.176727,,,,,
NGC_2477,5538489834352120000,0.77306045,118.019192,-38.68,0.6767,14.547136,1.031619,,,,,
NGC_2477,5538506941197230000,0.77279582,117.9288861,-38.47,0.7405,18.374964,1.812422,,,,,
NGC_2477,5538869097143310000,0.77278288,118.041336,-38.56,0.7019,15.627476,1.054624,,,,,
NGC_2477,5538866898119880000,0.77189111,118.2122449,-38.54,0.7157,15.306041,1.046605,,,,,
NGC_2477,5538865111413600000,0.77156837,118.1254957,-38.6,0.6657,14.044326,0.810507,,,,,
NGC_2477,5538874766499910000,0.77144481,118.2345443,-38.41,0.6701,16.780716,1.425012,,,,,
NGC_2477,5538883528233410000,0.77116121,117.9351,-38.39,0.6774,13.280498,0.815443,,,,,
NGC_2477,5538495022668560000,0.77116023,117.9493822,-38.53,0.7394,14.689678,0.998932,,,,,
NGC_2477,5538869921776960000,0.77113389,118.0504033,-38.48,0.6671,14.250842,0.898415,,,,,
NGC_2477,5538871639763780000,0.77016825,118.1346506,-38.43,0.736,17.30884,1.529083,,,,,
NGC_2477,5538507289099390000,0.77014091,117.8285416,-38.51,0.6833,13.077373,0.787322,,,,,
NGC_2477,5538865248852510000,0.77001623,118.1682819,-38.59,0.7077,12.655794,0.667664,,,,,
NGC_2477,5538871708483260000,0.76938755,118.1176579,-38.41,0.7033,15.463669,1.216696,,,,,
NGC_2477,5538882772319130000,0.76938755,117.9992905,-38.43,0.6975,13.832324,0.882853,,,,,
NGC_2477,5538882802373690000,0.76931919,117.9857742,-38.41,0.691,13.610966,0.913005,,,,,
NGC_2477,5538490452827500000,0.76924198,118.0612369,-38.63,0.6926,15.928734,1.236549,,,,,
NGC_2477,5538871605404040000,0.76913765,118.1317358,-38.43,0.6679,15.456478,1.277602,,,,,
NGC_2477,5538868100710940000,0.76887572,118.1780905,-38.49,0.7243,10.818552,1.778729,,,,,
NGC_2477,5538507014221450000,0.76838316,117.886646,-38.49,0.6605,16.485792,1.288533,,,,,
NGC_2477,5538867001199090000,0.76831868,118.2270911,-38.54,0.7031,16.925026,1.330329,,,,,
NGC_2477,5538866520162850000,0.76799462,118.110146,-38.55,0.6754,13.521,0.775175,,,,,
NGC_2477,5538505021356260000,0.76790617,117.812798,-38.55,0.7231,17.649137,1.507942,,,,,
NGC_2477,5538116137839930000,0.7672601,118.2411426,-38.59,0.7053,16.373453,1.299982,,,,,
NGC_2477,5538883627011070000,0.76725131,117.8730675,-38.39,0.6607,17.899458,1.926483,,,,,
NGC_2477,5538489387675560000,0.7670125,118.0577199,-38.7,0.6861,13.4737425,0.785541,,,,,
NGC_2477,5538506842422830000,0.76681763,117.9259982,-38.51,0.6614,17.431494,1.503482,,,,,
NGC_2477,5538869058489210000,0.76572675,118.0304647,-38.56,0.6967,10.444164,1.619012,,,,,
NGC_2477,5538492995448220000,0.76572299,117.9619405,-38.66,0.7142,16.706455,1.297504,,,,,
NGC_2477,5538882360002290000,0.76544001,117.9913705,-38.44,0.7044,18.235231,1.745394,,,,,
NGC_2477,5538882286977620000,0.7653756,117.9488317,-38.46,0.7061,12.58128,0.829369,,,,,
NGC_2477,5538506739343540000,0.76526806,117.9132364,-38.52,0.7007,14.505744,0.948261,,,,,
NGC_2477,5538866829400410000,0.76522536,118.2220263,-38.57,0.7097,17.017944,1.365575,,,,,
NGC_2477,5538869681258760000,0.7649211,118.0982572,-38.5,0.7405,14.522665,0.933051,,,,,
NGC_2477,5538869200222500000,0.76489272,118.0497962,-38.53,0.7118,17.02078,1.38765,,,,,
NGC_2477,5538883356434770000,0.76480466,117.8918165,-38.41,0.7389,17.69565,1.550923,,,,,
NGC_2477,5538493682642910000,0.76466195,118.0253101,-38.58,0.7013,13.00367,0.736692,,,,,
NGC_2477,5538494026240300000,0.76464198,117.9941565,-38.54,0.7011,12.563813,0.726545,,,,,
NGC_2477,5538490452827500000,0.76445492,118.0660362,-38.62,0.6577,15.675231,1.115701,,,,,
NGC_2477,5538493613923260000,0.76431864,117.9900696,-38.6,0.6633,14.809175,0.954141,,,,,
NGC_2477,5538114007534300000,0.76281744,118.1523943,-38.67,0.7213,12.730498,0.792096,,,,,
NGC_2477,5538871296166420000,0.76264465,118.1232441,-38.46,0.6848,14.097404,0.887614,,,,,
NGC_2477,5538882256923160000,0.76258515,117.9447635,-38.47,0.7053,15.271047,1.065754,,,,,
NGC_2477,5538115897319870000,0.76247809,118.2504672,-38.61,0.6689,16.188135,1.504475,,,,,
NGC_2477,5538493339045320000,0.76163907,117.9216137,-38.62,0.689,13.37266,0.820336,,,,,
NGC_2477,5538507976294100000,0.76116397,117.8916398,-38.44,0.6535,18.007147,1.673023,,,,,
NGC_2477,5538493064167460000,0.7609923,117.9553586,-38.65,0.6865,13.097085,0.816507,,,,,
NGC_2477,5538114763448490000,0.76097717,118.3105226,-38.66,0.6959,15.689902,1.311899,,,,,
NGC_2477,5538868508725950000,0.76027101,118.20528,-38.47,0.6855,17.793135,1.623531,,,,,
NGC_2477,5538506735037230000,0.76024557,117.9175138,-38.51,0.7065,12.090824,1.52183,,,,,
NGC_2477,5538507220379850000,0.76011957,117.905084,-38.46,0.6896,15.897116,1.23419,,,,,
NGC_2477,5538883047197040000,0.76011957,117.9832026,-38.4,0.6957,14.622496,1.004424,,,,,
NGC_2477,5538493717004610000,0.75955514,118.0015573,-38.59,0.6802,14.440978,0.892792,,,,,
NGC_2477,5538869195917320000,0.75929083,118.0500283,-38.54,0.7364,12.827248,0.602829,,,,,
NGC_2477,5538494163679330000,0.75833744,117.9132408,-38.6,0.7161,15.151687,1.030177,,,,,
NGC_2477,5538882566160780000,0.7583289,117.9251356,-38.44,0.6865,14.878515,1.167331,,,,,
NGC_2477,5538116374050840000,0.75742604,118.3032634,-38.57,0.676,13.458812,0.8541035,,,,,
NGC_2477,5538884387226770000,0.75732215,118.0332464,-38.39,0.6944,16.786596,1.366924,,,,,
NGC_2477,5538884043629550000,0.75708085,117.9629906,-38.35,0.6731,14.326495,0.970176,,,,,
NGC_2477,5538865523730430000,0.75703024,118.1451252,-38.58,0.6985,14.976835,0.928437,,,,,
NGC_2477,5538512408700290000,0.75692612,117.7842219,-38.34,0.6957,15.1780405,1.002363,,,,,
NGC_2477,5538490624626080000,0.75649112,118.038275,-38.63,0.6863,14.297227,0.908704,,,,,
NGC_2477,5538870540252290000,0.75625278,118.0088808,-38.47,0.6801,16.04402,1.21431,,,,,
NGC_2477,5538114454205740000,0.75608922,118.1913752,-38.64,0.6956,16.121084,1.239283,,,,,
NGC_2477,5538869646899050000,0.75606212,118.077603,-38.51,0.7247,16.707977,1.2854675,,,,,
NGC_2477,5538494610355630000,0.75536561,117.9439148,-38.58,0.688,15.343628,1.044701,,,,,
NGC_2477,5538490109230170000,0.75530888,118.0060481,-38.66,0.7016,16.431026,1.277266,,,,,
NGC_2477,5538506327026700000,0.75510386,117.8983722,-38.54,0.6895,14.299458,0.880325,,,,,
NGC_2477,5538111567992810000,0.75415991,118.3669009,-38.7,0.6823,13.81118,0.973037,,,,,
NGC_2477,5538869303301740000,0.75392826,118.0338627,-38.54,0.69,15.268366,1.0308845,,,,,
NGC_2477,5538869612539330000,0.75381618,118.0637972,-38.51,0.7483,16.508198,1.22806,,,,,
NGC_2477,5538866893818120000,0.75323135,118.2119309,-38.55,0.6587,17.279276,1.415949,,,,,
NGC_2477,5538882772319120000,0.75309585,118.0035451,-38.42,0.7059,13.727906,0.905287,,,,,
NGC_2477,5538866344059040000,0.75284157,118.1229122,-38.55,0.6783,12.991837,0.829278,,,,,
NGC_2477,5538865592449870000,0.75225212,118.1793813,-38.57,0.6679,14.405136,1.002534,,,,,
NGC_2477,5538869917471810000,0.75195487,118.0551612,-38.48,0.6982,11.78193,1.47204,,,,,
NGC_2477,5538492892369060000,0.75195425,117.8500952,-38.62,0.6754,14.213328,0.887638,,,,,
NGC_2477,5538869612539330000,0.75171531,118.0710101,-38.52,0.667,18.288462,1.842235,,,,,
NGC_2477,5538489044078290000,0.75153517,118.0292627,-38.7,0.6843,14.005724,0.919051,,,,,
NGC_2477,5538113801375860000,0.75123802,118.2037828,-38.68,0.7115,12.5281315,0.956692,,,,,
NGC_2477,5538116172192570000,0.7512351,118.2249507,-38.59,0.665,17.486671,1.503456,,,,,
NGC_2477,5538866417083590000,0.75087182,118.158543,-38.53,0.6626,13.437693,0.777176,,,,,
NGC_2477,5538488700480900000,0.75083489,118.0568915,-38.74,0.6596,14.148656,1.009131,,,,,
NGC_2477,5538866210925230000,0.75068142,118.0902988,-38.55,0.7278,14.589631,0.986267,,,,,
NGC_2477,5538865936047320000,0.75063066,118.1135165,-38.57,0.6802,15.521598,1.059846,,,,,
NGC_2477,5538506116563350000,0.75002219,117.7739117,-38.5,0.6798,18.246891,1.771034,,,,,
NGC_2477,5538487596667730000,0.74991473,117.9167797,-38.79,0.6845,18.673365,1.926716,,,,,
NGC_2477,5538867069918600000,0.74951739,118.1871614,-38.55,0.7043,15.398223,1.071494,,,,,
NGC_2477,5538870746410680000,0.74902122,118.0395444,-38.46,0.6854,15.395713,1.095752,,,,,
NGC_2477,5538865485068800000,0.74870232,118.1303219,-38.59,0.7014,19.36313,2.16161,,,,,
NGC_2477,5538866176565520000,0.74844962,118.0733787,-38.56,0.6505,15.74014,1.10949,,,,,
NGC_2477,5538867963271810000,0.74827523,118.1523114,-38.52,0.6837,13.634107,0.8080965,,,,,
NGC_2477,5538865936047330000,0.7482063,118.0987663,-38.57,0.6623,14.613053,0.929569,,,,,
NGC_2477,5538868375588640000,0.74781581,118.1549099,-38.47,0.7105,18.003641,1.653079,,,,,
NGC_2477,5538504918277060000,0.74778408,117.8238532,-38.58,0.6869,15.400788,1.095378,,,,,
NGC_2477,5538488082005440000,0.74712112,117.9374027,-38.75,0.6984,14.139061,0.9441845,,,,,
NGC_2477,5538870192360580000,0.74708785,117.9993136,-38.5,0.7104,12.5032425,0.694152,,,,,
NGC_2477,5538109815646190000,0.74657135,118.3145463,-38.75,0.6817,14.453678,1.155691,,,,,
NGC_2477,5538870643331480000,0.74646096,118.0357454,-38.47,0.652,16.1647,1.376795,,,,,
NGC_2477,5538868169430230000,0.74552337,118.1524487,-38.5,0.6849,14.417248,0.950049,,,,,
NGC_2477,5538871120066210000,0.74545041,118.0255923,-38.42,0.6924,19.11548,2.094606,,,,,
NGC_2477,5538507151656210000,0.74543905,117.9118728,-38.47,0.7294,19.771278,2.178182,,,,,
NGC_2477,5537737527880460000,0.74495369,118.1586654,-38.75,0.6973,14.767162,1.146499,,,,,
NGC_2477,5538870093575740000,0.74489547,117.9979102,-38.53,0.7253,15.677035,1.107126,,,,,
NGC_2477,5538116756313280000,0.74483779,118.2808348,-38.52,0.6875,13.068689,0.931258,,,,,
NGC_2477,5538491552339220000,0.74444637,117.9244527,-38.67,0.6715,15.438387,1.099891,,,,,
NGC_2477,5538873666988270000,0.74420979,118.2776203,-38.46,0.6644,15.067586,1.1434495,,,,,
NGC_2477,5538114488570620000,0.74402824,118.2054405,-38.64,0.7172,15.092292,1.104863,,,,,
NGC_2477,5538493510844060000,0.743833,117.9900252,-38.62,0.6616,16.235207,1.182485,,,,,
NGC_2477,5538869402075750000,0.74383173,118.0326771,-38.53,0.7016,12.339299,0.8268455,,,,,
NGC_2477,5538887032926400000,0.74348093,117.8655923,-38.33,0.7,14.345205,0.949686,,,,,
NGC_2477,5538868169430240000,0.74338262,118.1440101,-38.51,0.7257,16.36368,1.244839,,,,,
NGC_2477,5538884352866780000,0.74307208,117.9495474,-38.3,0.6881,13.848626,0.920491,,,,,
NGC_2477,5538865519431720000,0.74253057,118.1437531,-38.57,0.6738,15.030761,0.96452,,,,,
NGC_2477,5538864596017040000,0.74251602,118.126264,-38.67,0.6861,16.960745,1.358606,,,,,
NGC_2477,5538115244484810000,0.7424838,118.3015111,-38.61,0.6846,15.043453,1.233368,,,,,
NGC_2477,5538872430037770000,0.74241638,118.1064137,-38.41,0.6644,16.02743,1.350331,,,,,
NGC_2477,5538488872279610000,0.74223277,118.0207567,-38.73,0.6771,12.901151,1.509786,,,,,
NGC_2477,5538872911074090000,0.7419718,118.1079651,-38.37,0.6834,15.982549,1.236826,,,,,
NGC_2477,5538116069118530000,0.74184435,118.2767632,-38.57,0.6603,15.555779,1.197809,,,,,
NGC_2477,5538866176565520000,0.74176826,118.0760671,-38.57,0.6619,13.123503,0.700794,,,,,
NGC_2477,5538488769200380000,0.74174256,118.0459415,-38.72,0.667,16.973255,1.567966,,,,,
NGC_2477,5538870608971770000,0.74166146,117.9989667,-38.46,0.7421,16.292585,1.285285,,,,,
NGC_2477,5538868925344410000,0.74165961,118.1942574,-38.42,0.719,16.86971,1.422335,,,,,
NGC_2477,5538872430037770000,0.74144872,118.1025061,-38.41,0.6689,13.103638,1.016318,,,,,
NGC_2477,5538492102094710000,0.74128367,117.836453,-38.67,0.6913,13.779733,0.905554,,,,,
NGC_2477,5538492273893390000,0.74128367,117.8141845,-38.67,0.6785,16.25976,1.261019,,,,,
NGC_2477,5538116099174150000,0.74109299,118.2324384,-38.6,0.6794,18.86252,2.337413,,,,,
NGC_2477,5538884318507050000,0.74060567,117.9375808,-38.32,0.7009,15.087335,1.103991,,,,,
NGC_2477,5538494679075370000,0.73895629,117.9411928,-38.56,0.7137,14.173978,0.833693,,,,,
NGC_2477,5538866103544120000,0.73865757,118.0822647,-38.57,0.6924,16.402517,1.382916,,,,,
NGC_2477,5538121669755840000,0.73840059,118.3550356,-38.55,0.6826,16.147089,1.395811,,,,,
NGC_2477,5538865764248690000,0.73835245,118.073714,-38.61,0.659,15.560642,1.110096,,,,,
NGC_2477,5538489799992380000,0.73824395,118.0148094,-38.69,0.7024,12.704386,0.897061,,,,,
NGC_2477,5538110051859330000,0.7381074,118.2811374,-38.73,0.6741,17.674267,1.628149,,,,,
NGC_2477,5538507456593260000,0.73793901,117.8219588,-38.49,0.6944,16.539417,1.302883,,,,,
NGC_2477,5538868444308080000,0.73792634,118.2215239,-38.48,0.6834,15.233564,1.09594,,,,,
NGC_2477,5538510450195230000,0.73773845,117.6994249,-38.43,0.6985,17.752228,1.5306,,,,,
NGC_2477,5538116137838030000,0.73724414,118.2430859,-38.59,0.7201,15.923652,1.21803,,,,,
NGC_2477,5538872361318510000,0.73708112,118.0653524,-38.42,0.7004,14.911725,1.0454415,,,,,
NGC_2477,5538486913774410000,0.73702479,117.9972531,-38.81,0.6891,14.622487,1.040098,,,,,
NGC_2477,5538869268942070000,0.73683069,118.0212855,-38.55,0.7172,17.530268,1.464144,,,,,
NGC_2477,5538884868263080000,0.73579138,118.0306712,-38.33,0.6916,14.541108,1.044284,,,,,
NGC_2477,5538493201606400000,0.73575742,117.9668804,-38.63,0.6628,13.702679,0.800874,,,,,
NGC_2477,5538867894552320000,0.73515496,118.1692797,-38.52,0.6449,16.41009,1.258094,,,,,
NGC_2477,5538869749978240000,0.73424817,118.0904257,-38.49,0.6701,13.840643,0.79437,,,,,
NGC_2477,5538506223947130000,0.73415341,117.8424527,-38.56,0.7081,17.253334,1.43107,,,,,
NGC_2477,5538491621058420000,0.73406235,117.894609,-38.69,0.7042,15.230913,1.099482,,,,,
NGC_2477,5538864939615050000,0.73316403,118.0868306,-38.64,0.6628,14.039157,0.872818,,,,,
NGC_2477,5537738111996340000,0.73316403,118.0883415,-38.74,0.6763,13.108438,0.944235,,,,,
NGC_2477,5538494885233810000,0.73313465,117.9206054,-38.55,0.713,11.61341,0.327242,,,,,
NGC_2477,5538867550954860000,0.73309836,118.2741144,-38.49,0.6756,14.46467,0.965181,,,,,
NGC_2477,5538114110613510000,0.73243522,118.1497094,-38.66,0.6631,16.63745,1.308011,,,,,
NGC_2477,5538489318956140000,0.73219812,118.0998663,-38.68,0.7138,14.60143,1.040358,,,,,
NGC_2477,5538113182900550000,0.73208683,118.2616078,-38.7,0.7023,16.670713,1.43612,,,,,
NGC_2477,5538865485065590000,0.73182177,118.1400073,-38.59,0.7297,12.668902,0.6506275,,,,,
NGC_2477,5538883871830760000,0.73144218,117.9574142,-38.37,0.6753,14.097996,0.947754,,,,,
NGC_2477,5538116206557510000,0.73068007,118.2388901,-38.58,0.6864,13.461403,0.837327,,,,,
NGC_2477,5538882772319130000,0.73044967,117.9970251,-38.42,0.71,14.054232,0.964718,,,,,
NGC_2477,5538867928912050000,0.73041997,118.1802946,-38.52,0.673,13.535427,0.784126,,,,,
NGC_2477,5538114694730920000,0.73038177,118.2040852,-38.6,0.6558,15.293159,1.108654,,,,,
NGC_2477,5538112770583320000,0.73024733,118.2269557,-38.72,0.6823,13.820017,1.068845,,,,,
NGC_2477,5538869642593910000,0.73021299,118.0712118,-38.5,0.7319,12.1208725,1.450281,,,,,
NGC_2477,5538507186020130000,0.73010528,117.887247,-38.47,0.6802,16.69591,1.317887,,,,,
NGC_2477,5538490968223400000,0.73006074,117.8707464,-38.72,0.7052,15.504251,1.41433,,,,,
NGC_2477,5538869612539310000,0.72909798,118.0783518,-38.51,0.7308,12.779811,0.852598,,,,,
NGC_2477,5538113938814410000,0.72883701,118.1503785,-38.68,0.6927,15.643774,1.137787,,,,,
NGC_2477,5538867928912050000,0.7286557,118.1808987,-38.52,0.6916,15.8348875,1.167577,,,,,
NGC_2477,5538871635462260000,0.72861415,118.1337083,-38.42,0.7345,18.12489,1.767531,,,,,
NGC_2477,5538504162362820000,0.72855678,117.7889385,-38.63,0.6916,17.991068,1.632227,,,,,
NGC_2477,5538884765183890000,0.72842737,118.0069549,-38.34,0.7137,14.706301,1.0951185,,,,,
NGC_2477,5538872498757250000,0.72823567,118.0867092,-38.39,0.688,15.796322,1.256734,,,,,
NGC_2477,5538883528233430000,0.72799734,117.9243232,-38.39,0.6876,16.955326,1.534102,,,,,
NGC_2477,5538882806678880000,0.72784649,117.9841328,-38.42,0.7287,12.640737,0.89548,,,,,
NGC_2477,5538488803560110000,0.7278361,118.0520535,-38.72,0.66,14.520323,0.971523,,,,,
NGC_2477,5538870535950550000,0.72703719,118.0042562,-38.46,0.7366,18.116379,1.757162,,,,,
NGC_2477,5538869921776960000,0.72670253,118.0542616,-38.48,0.6865,15.827315,1.16261,,,,,
NGC_2477,5538869887417230000,0.7266996,118.047645,-38.48,0.7105,14.92519,1.063556,,,,,
NGC_2477,5538506047843830000,0.72644709,117.7803513,-38.51,0.6825,14.501291,1.036371,,,,,
NGC_2477,5538491689777880000,0.72639316,117.8776042,-38.67,0.6749,13.302914,0.80138,,,,,
NGC_2477,5538504986996510000,0.72612431,117.8010628,-38.56,0.7121,13.404712,0.726784,,,,,
NGC_2477,5538866485798920000,0.72595936,118.1431116,-38.53,0.7246,14.017358,0.845454,,,,,
NGC_2477,5538868822265190000,0.72593228,118.1973347,-38.43,0.7164,15.545518,1.181981,,,,,
NGC_2477,5538870089270520000,0.72575706,117.9976687,-38.53,0.7292,12.374234,0.7337285,,,,,
NGC_2477,5538112873662530000,0.72574737,118.187629,-38.73,0.6999,15.706709,1.273537,,,,,
NGC_2477,5538557484372760000,0.72523563,117.646073,-38.39,0.708,16.35623,1.147668,,,,,
NGC_2477,5538506361388270000,0.72510736,117.8675405,-38.54,0.6725,13.656299,0.829575,,,,,
NGC_2477,5538872769330080000,0.72506254,118.0627946,-38.37,0.7187,12.622082,0.909662,,,,,
NGC_2477,5538867688393840000,0.72479276,118.2243856,-38.48,0.6916,14.098153,0.907346,,,,,
NGC_2477,5538868616106750000,0.72479276,118.2478253,-38.45,0.6843,13.671798,0.922358,,,,,
NGC_2477,5538116648929570000,0.72479276,118.2847379,-38.55,0.6685,17.75754,1.602879,,,,,
NGC_2477,5538491140022070000,0.72473372,117.8422653,-38.72,0.6985,12.729066,1.12129,,,,,
NGC_2477,5538883596952930000,0.72472672,117.8879821,-38.4,0.7076,16.718191,1.317473,,,,,
NGC_2477,5538110159243570000,0.7246822,118.2854424,-38.72,0.6755,15.548559,1.253399,,,,,
NGC_2477,5538494988313020000,0.72456654,117.919918,-38.53,0.6986,11.373061,1.437704,,,,,
NGC_2477,5538491994710040000,0.72411552,117.8396477,-38.71,0.6871,15.312129,1.180949,,,,,
NGC_2477,5538869608234170000,0.72367707,118.0650958,-38.51,0.7254,11.586767,1.445963,,,,,
NGC_2477,5538882566160770000,0.72364257,117.9270242,-38.43,0.6776,15.702853,1.312739,,,,,
NGC_2477,5538866000464880000,0.72352831,118.0613044,-38.58,0.6582,18.937576,2.162632,,,,,
NGC_2477,5538864767816210000,0.7233461,118.1607373,-38.64,0.699,14.111504,0.883305,,,,,
NGC_2477,5538867516595110000,0.72318592,118.2956404,-38.49,0.6501,15.824653,1.203542,,,,,
NGC_2477,5538113767016120000,0.72271461,118.1895884,-38.69,0.6662,15.779175,1.205565,,,,,
NGC_2477,5538506120867840000,0.72258642,117.768346,-38.5,0.709,15.023765,1.052058,,,,,
