GAIA star id,Right Ascension (deg),Declination (deg),parallax (milliarcsseconds),GAIA g apparent mag,GAIA colour bp - rp
4683897617110110000,6.482504988,-77.25279547,133.7194056,2.6807318,0.92413735
3288921720025500000,72.46212402,6.961331009,124.6198014,3.0879216,0.8058183
4594497769766800000,266.6132135,27.71727504,119.9248085,3.2384055,1.0220034
2452378776434470000,26.00905506,-15.9336802,273.8097451,3.3003998,1.0512211
425040000962559000,12.28522738,57.81272813,168.8321603,3.3200667,0.8868861
6427464123776720000,302.1950399,-66.18709128,163.9544145,3.3641381,1.0192785
5164707970261890000,53.22829342,-9.458168216,310.5772928,3.465752,1.1402977
4468557611984380000,271.3644538,2.495224096,195.5673546,3.987364,1.0036926
4847957293278170000,50.00034362,-43.06655253,165.5242096,4.063915,0.9325981
4900108950849460000,5.035609547,-64.86961714,116.1825785,4.07351,0.76927614
1534011998572550000,188.4314284,41.35877669,118.0266056,4.094672,0.7944677
3195919528989220000,63.80795301,-7.668077815,199.6080124,4.179894,1.0412455
6412595290592300000,330.8724079,-56.79725466,274.8431415,4.322904,1.2974195
2261614264931050000,293.0975981,69.65345106,173.49391,4.449041,0.9943154
1237090738916390000,222.8480515,19.10026964,148.0694995,4.4804826,0.92511153
3507879565090220000,199.5962981,-18.3159221,117.1726461,4.5325284,0.898438
1872046609345550000,316.7484793,38.76386245,285.9949483,4.766713,1.4625897
4109030160308310000,258.835117,-26.60789783,168.1302779,4.828591,1.0597496
4109030160308320000,258.8341202,-26.60680662,168.0030789,4.831335,1.0583043
411413822074322000,17.09474986,54.91320398,130.2880698,4.9480124,0.9222264
96331172942614500,25.62258569,20.26551918,130.8233691,4.99968,1.0224853
6697578465310940000,302.802269,-36.10821654,166.3272043,5.033037,1.101397
2009481748875800000,348.337734,57.16966644,152.8640039,5.2318964,1.2163415
6232511606838400000,224.3715943,-21.4231404,169.8842703,5.3640366,1.3236036
1872046574983490000,316.7536628,38.75607277,286.0053519,5.4506445,1.7153406
2552925644460220000,12.09910708,5.275539447,134.4948477,5.467689,1.1095943
19316224572460400,39.02838451,6.893339108,138.3400038,5.4983196,1.1986432
4911306239828320000,24.95131742,-56.19325138,122.1088126,5.5083017,1.0707846
4468557611977670000,271.3659116,2.494198758,195.8563315,5.5392184,1.4856548
4911306239828320000,24.95065662,-56.19640007,122.0034724,5.6254873,1.0941982
4109034455276320000,259.0532941,-26.55114609,167.9616795,5.889863,1.4148359
823773494718931000,152.832929,49.4519889,205.314782,5.9611735,1.7223029
6583272171336040000,319.2950181,-38.8724564,251.9124222,5.984104,1.8535872
6604147121141260000,344.1019414,-31.56626896,131.5525092,6.0918646,1.3403125
1237090738916390000,222.8466427,19.10110411,148.1793168,6.4300914,1.5178809
6553614253923450000,346.5039167,-35.84716421,304.1353692,6.5220323,2.0982852
762815470562110000,165.8309597,35.94865303,392.7529454,6.551172,2.2156086
425040000962497000,12.28118476,57.81573919,168.7185612,6.762044,1.7540107
4375233191015940000,261.4358875,2.106157763,129.645882,6.934473,1.7076311
1022456139210630000,138.5835616,52.68408017,157.8879308,6.976026,1.8173037
1022456104850890000,138.5913118,52.68342944,157.8824911,7.054455,1.8464499
3209938366665770000,82.86754111,-3.686527602,175.3131366,7.1082892,2.121859
385334230892516000,4.613226258,44.02478674,280.7068216,7.218567,2.164384
6673000841376340000,303.4773906,-45.16473054,162.2171001,7.2426615,1.9117098
2396530698208680000,345.0628353,-22.52408921,121.4723614,7.259579,1.7334809
2940856402123420000,92.64357908,-21.86782311,173.5739858,7.3134713,2.0742784
3741297293732400000,206.4405658,14.8850527,183.9961953,7.6105833,2.1149225
2306965202564740000,1.383284152,-37.36774403,230.097034,7.6824937,2.186049
6562924609150900000,323.3912519,-49.0126304,201.3251983,7.739947,2.2399096
2195886971653520000,313.3324563,62.1509577,142.0542846,7.756715,2.0436773
2974726131970820000,75.61783104,-21.25787833,119.5737439,7.7924075,1.9057045
2828928008202060000,344.1402217,16.55216937,145.6234101,7.795021,2.1508222
