GAIA star id,Right Ascension (deg),Declination (deg),parallax (milliarcsseconds),GAIA g apparent mag,GAIA colour bp - rp
418551920284673000,10.12724198,56.53718879,14.09097625,1.9425238,1.1434835
4357027756659690000,243.5862107,-3.694967708,20.41129235,2.0164251,1.5633104
4993479684438430000,6.572155501,-42.30782033,39.91825816,2.0899775,1.2694821
4038055447778230000,274.4060905,-36.76242932,23.88585207,2.1164951,1.8272674
1279798794197260000,221.2464862,27.07431576,13.82667261,2.1833525,1.1840065
160886283751041000,74.24843703,33.16601472,7.249065034,2.1975422,1.4451852
4302054339959900000,296.5649857,10.6132527,5.589928355,2.223692,1.4782449
1222646935698490000,233.6725438,26.71429517,42.24080076,2.2693703,0.529583
5111187420714890000,59.50764202,-13.50901261,17.00162879,2.2707934,1.689486
1563590579347120000,200.9823734,54.92525908,40.21328447,2.282647,0.5343387
4049506483413480000,275.2486822,-29.82822387,7.846769491,2.296982,1.4261992
6227443304915060000,226.0172005,-25.28215906,12.53865453,2.3034124,1.9100549
804753180515722000,155.581761,41.49966386,17.7987185,2.32451,1.645093
4429785739602740000,236.0675744,6.425832667,43.94497412,2.3253543,1.3348399
2106630885454010000,283.833884,43.94645113,10.44041041,2.3616831,2.4237096
5922444483103220000,261.3248861,-55.52999692,4.560053792,2.3912818,1.4427056
6407842789021560000,334.6247786,-60.25977543,17.73235621,2.396663,1.438695
856096765753549000,165.4609742,56.38257749,38.60307998,2.3985364,0.49357748
3704342295607150000,193.898778,3.397230195,17.40648045,2.4037774,1.8989389
4473334474604990000,265.8679466,4.568012246,39.22844496,2.4423249,1.2892413
3501215734352780000,188.5968176,-23.39701223,22.00492734,2.448283,1.0926499
4629125170492110000,56.81058395,-74.23845269,15.07934675,2.4740036,1.8262122
702343774145932000,140.2625728,34.39263287,14.7041957,2.488654,1.6008933
1625209684868700000,245.9977069,61.51446351,35.71632758,2.494415,1.0970564
5917537534527580000,254.654913,-55.9902994,5.772484443,2.5107856,1.6126139
5361403934691770000,161.6928645,-49.42047691,29.05058414,2.5133939,1.1023693
4076915349846970000,276.9924434,-25.42252303,42.91983428,2.5435061,1.2009923
5306951892646510000,142.8052259,-57.03435042,14.62339661,2.5465453,1.647223
1297565458994340000,247.5545293,21.48954466,22.00225444,2.547638,1.1411304
1415230383034810000,262.6080576,52.30144333,8.919816495,2.5482864,1.1480441
4337352305320140000,249.2897976,-10.56697608,7.408845728,2.5565956,0.44186306
5099455184968670000,49.87942191,-21.75771998,10.61526878,2.5895581,2.011383
5502164890740280000,102.4842666,-50.61484788,18.75771328,2.6184993,1.3124249
3736865265441200000,195.5429148,10.95923674,30.21095733,2.619051,1.1567237
2968097043228510000,82.06131805,-20.75981566,20.86973405,2.627176,1.0872264
